요일_순위_제목,Tag
mon_1_만남어플 중독,"#드라마, #고자극스릴러, #고자극드라마, #자극적인, #절망적인, #치명적인, #현대, #유혹남, #나쁜남자, #평범녀, #소심녀, #미스터리, #범죄, #성인웹툰"
mon_2_참교육,"#액션, #사이다, #학원액션, #자극적인, #사회고발, #참교육, #블루스트링, #학원물, #다크히어로, #먼치킨"
mon_3_환생천마,"#무협/사극, #사이다, #동양, #환생, #액션, #고인물, #환골탈태, #동양풍판타지, #판무, #먼치킨, #소설원작"
mon_4_왕과의 야행,"#로맨스, #동양풍로맨스, #자극적인, #동양, #왕족/귀족, #나쁜남자, #공식미녀, #사연녀, #고자극로맨스, #궁중로맨스, #성인웹툰"
mon_5_절대검감,"#무협/사극, #동양, #이능력, #모험, #액션, #성장물, #환골탈태, #회귀, #판무, #복수극, #먼치킨, #소설원작"
mon_6_똑 닮은 딸,"#스릴러, #명작, #고자극드라마, #자극적인, #시리어스, #미스터리, #범죄, #2020 지상최대공모전, #서스펜스, #복수극"
mon_7_백수세끼,"#드라마, #리얼로맨스, #공감, #캠퍼스, #오피스, #평범남, #평범녀, #재회, #음식&요리, #감성드라마"
mon_8_마음의소리(였던 것),"#개그, #열혈병맛개그, #공감, #병맛, #가벼운, #개그, #요즘핫한추천작, #지금추천작, #4차원"
mon_9_소녀의 세계,"#드라마, #설렘폭발, #공감, #우정, #청춘, #외유내강녀, #명랑녀, #햇살녀, #햇살캐, #힐링, #하이틴, #학원로맨스, #직진남, #청춘로맨스, #삼각관계, #까칠남, #감성드라마"
mon_10_귀촌리,"#스릴러, #고자극스릴러, #자극적인, #시리어스, #피카레스크, #범죄, #오컬트, #서스펜스, #두뇌싸움, #괴담"
mon_11_시한부 천재가 살아남는 법,"#무협/사극, #정통무협, #시리어스, #동양, #모험, #고인물, #힘숨찐, #복수극, #먼치킨, #소설원작"
mon_12_십이지소녀,"#드라마, #하렘, #러브코미디, #동양풍로맨스, #이능력, #청춘, #로맨스, #판타지, #성장물, #학원물, #성장드라마"
mon_13_회귀한 공작가의 막내도련님은 암살자,"#판타지, #레드아이스 스튜디오, #액션판타지, #왕족/귀족, #아카데미물, #고인물, #회귀, #복수극, #먼치킨, #소설원작"
mon_14_버림받은 왕녀의 은밀한 침실,"#로맨스, #자극적인, #치명적인, #서양, #왕족/귀족, #무심남, #순정남, #계략남, #군림녀, #직진녀, #능력녀, #다정남, #고자극로맨스, #궁중로맨스, #역하렘, #로판, #까칠남, #소설원작, #성인웹툰"
mon_15_천재 타자가 강속구를 숨김,"#스포츠, #청춘, #인생역전, #성장물, #고인물, #타임슬립, #야구, #회귀, #힘숨찐, #청춘로맨스, #스포츠성장, #소설원작"
tue_1_괴력 난신,"#무협/사극, #레드아이스 스튜디오, #액션, #세계관, #오컬트, #동양풍판타지, #판무, #먼치킨, #소설원작"
tue_2_김부장,"#액션, #사이다, #자극적인, #시리어스, #가족, #중년, #참교육, #범죄, #격투기, #힘숨찐, #다크히어로, #먼치킨, #느와르"
tue_3_절대회귀,"#무협/사극, #참교육, #미친작화, #무협/사극, #고인물, #타임슬립, #회귀, #판무, #복수극, #먼치킨, #소설원작"
tue_4_우렉 마지노,"#판타지, #사이다, #액션판타지, #모험, #액션, #세계관, #소년왕도물"
tue_5_서울 자가에 대기업 다니는 김 부장 이야기,"#드라마, #공감, #현대, #오피스, #사회고발, #중년, #직업드라마, #하이퍼리얼리즘, #소설원작"
tue_7_신입사원 김철수,"#판타지, #현대, #오피스, #청춘, #고인물, #재벌, #타임슬립, #힐링, #직업드라마, #회귀, #복수극, #두뇌싸움, #소설원작"
tue_8_이섭의 연애,"#로맨스, #리얼로맨스, #현대, #오피스, #공식미남, #햇살남, #능력남, #능력녀, #로맨틱코미디, #햇살캐, #재벌, #오피스로맨스, #사내연애, #까칠남, #소설원작"
tue_9_레벨999 고블린,"#액션, #게임, #판타지, #병맛, #개그, #게임판타지"
tue_10_마음의소리2,"#개그, #일상개그힐링, #공감, #결혼생활, #병맛, #가벼운, #힐링, #육아물, #4차원"
tue_11_중증외상센터 : 외과의사 백강혁,"#드라마, #현대, #드라마, #성장물, #드라마&영화 원작웹툰, #직업드라마, #의학드라마, #성장드라마, #소설원작"
tue_12_사신소년,"#액션, #액션판타지, #학원액션, #현대, #동양, #소년물, #액션, #판타지, #이능력배틀물, #소년왕도물, #먼치킨, #다크판타지"
tue_13_멸망 이후의 세계,"#판타지, #레드아이스 스튜디오, #액션판타지, #세계관, #차원이동, #아포칼립스, #이세계, #먼치킨, #소설원작"
tue_14_축살,"#스릴러, #미스터리, #스릴러, #공포, #성인웹툰"
tue_15_44교시 생존수업,"#스릴러, #학원액션, #스릴러, #서바이벌, #서스펜스, #두뇌싸움"
wed_1_전지적 독자 시점,"#판타지, #레드아이스 스튜디오, #게임, #세계관, #아포칼립스, #게임판타지, #헌터물, #이능력배틀물, #먼치킨, #구원서사, #소설원작"
wed_2_종말이 찾아왔다,"#판타지, #액션아포칼립스, #생존, #스릴러, #환골탈태, #아포칼립스, #힘숨찐, #좀비"
wed_3_강제소집,"#스릴러, #고자극스릴러, #자극적인, #생존, #데스게임, #액션, #피카레스크, #서바이벌, #밀리터리, #성인웹툰"
wed_4_운명을 보는 회사원,"#판타지, #현대판타지, #현대, #오피스, #이능력, #직업드라마, #오컬트, #두뇌싸움, #소설원작"
wed_6_별을 품은 소드마스터,"#판타지, #중세판타지액션, #시리어스, #서양, #소년물, #용사, #액션, #성장물, #소년왕도물, #소설원작"
wed_7_쌉초의 난,"#일상, #일상개그힐링, #가벼운, #개그, #무해한, #햇살캐, #힐링, #4차원, #하이퍼리얼리즘, #동물, #걸크러시, #공감성수치"
wed_8_썰:관계주의,"#로맨스, #고자극드라마, #나쁜남자, #하이퍼리얼리즘, #사내연애, #성인웹툰"
wed_9_일렉시드,"#액션, #이능력, #배틀, #아카데미물, #세계관, #학원물, #이능력배틀물, #인외존재, #성장드라마, #동물, #먼치킨"
wed_10_사천당가의 검신급 소가주가 되었다,"#무협/사극, #사이다, #소년물, #환생, #액션, #성장물, #고인물, #판무, #복수극, #먼치킨, #소설원작"
wed_11_캐슬2:만인지상,"#액션, #사이다, #시리어스, #요즘핫한추천작, #지금추천작, #범죄, #복수극, #먼치킨, #느와르"
wed_12_백XX,"#액션, #자극적인, #시리어스, #가족, #지금추천작, #범죄, #복수극, #먼치킨, #느와르"
wed_13_천마는 조용히 살고싶다,"#무협/사극, #동양, #환생, #무협/사극, #고인물, #동양풍판타지, #빙의, #소설원작"
wed_14_성스러운 작가생활,"#로맨스, #요즘핫한추천작, #로맨스코미디, #직업드라마, #전남친, #까칠남, #성인웹툰"
wed_15_조조코믹스,"#로맨스, #리얼로맨스, #러블리, #비밀연애, #짝사랑, #로맨스코미디, #친구>연인, #오피스로맨스, #사내연애"
thu_2_육아일기,"#일상, #공감, #결혼생활, #연애/결혼공감, #가벼운, #힐링, #친구>연인"
thu_3_나노마신,"#무협/사극, #레드아이스 스튜디오, #사이다, #게임, #상태창, #참교육, #sf, #판무, #이능력배틀물, #먼치킨, #소설원작"
thu_4_마흔 즈음에,"#드라마, #2024 연재직행열차, #고자극드라마, #리얼로맨스, #공감, #평범남, #연애/결혼공감, #개그, #하이퍼리얼리즘"
thu_5_별 거 아니겠지,"#일상, #2024 지상최대공모전, #감성적인, #눈물샘자극, #가족, #드라마, #하이퍼리얼리즘, #의학드라마"
thu_6_재벌집 막내아들,"#드라마, #고자극드라마, #오피스, #정치, #재벌, #타임슬립, #드라마&영화 원작웹툰, #회귀, #복수극, #빙의, #두뇌싸움, #소설원작"
"thu_8_송이연 50살, 이혼 한 달 차","#드라마, #2024 연재직행열차, #자극적인, #중년, #감성, #연애/결혼공감, #감성드라마"
thu_9_할배무사와 지존 손녀,"#무협/사극, #정통무협, #모험, #가족, #액션, #성장물, #고인물, #육아물, #먼치킨, #소설원작"
thu_10_무사만리행,"#무협/사극, #성장물, #퓨전사극, #판무, #먼치킨"
"thu_11_풍작이에요, 마왕님!","#판타지, #농사, #판타지개그, #세계관, #게임판타지, #이세계, #소설원작"
thu_12_게임 속 바바리안으로 살아남기,"#판타지, #게임, #생존, #액션, #판타지, #지금추천작, #서바이벌, #차원이동, #게임판타지, #인외존재, #빙의, #소설원작"
thu_13_작두,"#판타지, #동양, #신화, #이능력, #액션, #미친작화, #성장물, #세계관, #판무, #인외존재, #소년왕도물"
thu_14_구세라,"#액션, #학원액션, #개그, #짝사랑, #걸크러시"
thu_15_마도귀환록,"#무협/사극, #소설원작"
fri_1_광마회귀,"#무협/사극, #사이다, #세계관, #회귀, #판무, #소설원작"
fri_2_역대급 영지 설계사,"#판타지, #판타지개그, #서양, #게임, #왕족/귀족, #개그, #세계관, #게임판타지, #이세계, #소년왕도물, #빙의, #소설원작"
fri_3_외모지상주의,"#드라마, #사이다, #학원액션, #소년물, #참교육, #성장물, #격투기, #학원물, #인플루언서, #복수극, #먼치킨"
fri_4_나 혼자 만렙 뉴비,"#판타지, #레드아이스 스튜디오, #사이다, #하렘, #게임, #상태창, #고인물, #게임판타지, #헌터물, #먼치킨, #소설원작"
fri_6_상남자,"#드라마, #사이다, #오피스, #청춘, #능력남, #인생역전, #직업드라마, #회귀, #두뇌싸움, #머니게임, #먼치킨, #소설원작"
fri_7_재혼 황후,"#로맨스, #사연녀, #다정남, #후회물, #궁중로맨스, #혐관로맨스, #직진남, #이세계, #역하렘, #연상연하, #삼각관계, #선결혼후연애, #로판, #걸크러시, #소설원작"
fri_8_로맨스 저주,"#스릴러, #고자극스릴러, #자극적인, #악역이주인공, #드라마, #아이돌연애, #계략녀, #하이퍼리얼리즘, #복수극, #공감성수치, #성인웹툰"
fri_9_재입대만 7번째,"#드라마, #2024 연재직행열차, #절망적인, #공감, #드라마, #개그, #밀리터리"
fri_10_아카데미에서 살아남기,"#판타지, #하렘, #상태창, #생존, #왕족/귀족, #아카데미물, #서바이벌, #게임판타지, #빙의, #소설원작"
fri_11_천하제일 대사형,"#무협/사극, #사이다, #참교육, #환골탈태, #판무, #복수극, #먼치킨, #소설원작"
fri_12_A.I. 닥터,"#드라마, #사이다, #현대판타지, #현대, #직업드라마, #sf, #의학드라마, #소설원작"
fri_13_퇴마록 : 세계편,"#판타지, #현대판타지, #오컬트판타지, #신화, #액션, #판타지, #미스터리, #요즘핫한추천작, #오컬트, #소설원작"
fri_14_1초,"#드라마, #눈물샘자극, #현대, #이능력, #청춘, #직업드라마, #서스펜스, #성장드라마"
fri_15_돈구멍,"#스릴러, #사이다, #고자극스릴러, #자극적인, #시리어스, #피카레스크, #범죄, #하이퍼리얼리즘, #머니게임"
sat_1_호랑이형님,"#판타지, #명작, #세계관, #동양풍판타지, #판무, #동물"
sat_2_개꿈,"#드라마, #고자극드라마, #자극적인, #공감, #자본주의, #재벌녀, #재벌, #고자극로맨스, #하이퍼리얼리즘, #인플루언서, #삼각관계, #공감성수치, #성인웹툰"
sat_3_초인의 시대,"#액션, #액션판타지, #현대, #소년물, #판타지, #최강자전, #2018 최강자전, #이능력배틀물, #소년왕도물, #먼치킨"
sat_4_시든 꽃에 눈물을,"#로맨스, #자극적인, #치명적인, #헌신남, #유혹남, #계략남, #연하남, #외유내강녀, #무심녀, #미친작화, #폭스남, #집착물, #후회물, #고자극로맨스, #직진남, #연상연하, #성인웹툰"
sat_5_마도전생기,"#무협/사극, #전쟁, #악역이주인공, #액션, #지금추천작, #성장물, #회귀, #힘숨찐, #판무, #두뇌싸움, #먼치킨, #소설원작"
sat_6_절대군림,"#무협/사극, #정통무협, #동양, #배틀, #능글남, #미친작화, #무협/사극, #고인물, #힘숨찐, #먼치킨, #소설원작"
sat_7_아수라,"#판타지, #동양, #모험, #액션, #무협/사극, #성장물, #동양풍판타지, #인외존재, #소년왕도물, #복수극, #먼치킨"
sat_9_킬러 배드로,"#액션, #시리어스, #액션, #미친작화, #범죄, #고인물, #격투기, #학원물, #복수극, #먼치킨, #느와르"
sat_10_오늘만 사는 기사,"#판타지, #액션판타지, #시리어스, #용사, #액션, #요즘핫한추천작, #성장물, #고인물, #회귀, #인외존재, #먼치킨, #소설원작"
sat_11_99강화나무몽둥이,"#판타지, #사이다, #게임, #유혹녀, #명랑녀, #능력녀, #병맛, #개그, #아이돌, #고인물, #차원이동, #게임판타지, #힘숨찐, #헌터물, #인외존재, #먼치킨"
sat_13_아홉수 우리들,"#로맨스, #리얼로맨스, #공감, #현대, #청춘, #능력남, #아방녀, #소심녀, #능력녀, #다정남, #하이퍼리얼리즘, #감성드라마"
sat_14_시한복권,"#드라마, #고자극스릴러, #고자극드라마, #자극적인, #절망적인, #자본주의, #가족, #드라마, #스릴러, #범죄, #하이퍼리얼리즘, #성인웹툰"
sat_15_세레나,"#로맨스, #결혼생활, #악역이주인공, #왕족/귀족, #공식미남, #무심남, #능력남, #대형견남, #순정남, #공식미녀, #군림녀, #능력녀, #사연녀, #고자극로맨스, #계략녀, #혐관로맨스, #직진남, #선결혼후연애, #걸크러시, #까칠남"
sun_2_입학용병,"#액션, #사이다, #학원액션, #우정, #가족, #참교육, #밀리터리, #학원물, #먼치킨, #느와르"
sun_3_기기괴괴2,"#스릴러, #고자극스릴러, #자극적인, #참교육, #요즘핫한추천작, #후회물, #오컬트, #서스펜스, #괴담"
sun_4_천화서고 대공자,"#무협/사극, #사이다, #동양, #액션, #지금추천작, #판무, #빙의, #먼치킨, #소설원작"
sun_5_개짓,"#로맨스, #소설원작, #성인웹툰"
sun_6_일타강사 백사부,"#무협/사극, #소설원작"
sun_7_속아주고싶어,"#로맨스, #설렘폭발, #치명적인, #캠퍼스, #현대, #혐관, #공식미남, #사연남, #계략남, #후회남, #나쁜남자, #무심녀, #능력녀, #로맨스, #미친작화, #폭스남, #후회물, #고자극로맨스, #청춘로맨스, #캠퍼스로맨스"
sun_8_권왕환생,"#무협/사극, #사이다, #환생, #액션, #세계관, #소설원작"
sun_9_판사 이한영,"#드라마, #현대판타지, #현대, #사회고발, #판타지, #범죄, #법정드라마, #직업드라마, #회귀, #복수극, #소설원작"
sun_10_문스트럭,"#로맨스, #예술, #고자극드라마, #자극적인, #중세, #악역이주인공, #로맨스, #미친작화, #고자극로맨스, #뱀파이어, #성인웹툰"
sun_11_소년교도소,"#액션, #가족, #혐관, #사연남, #참교육, #성장물, #범죄, #블루스트링, #혐관로맨스, #힘숨찐, #복수극, #느와르"
sun_12_고대동물기,"#드라마, #감성적인, #옴니버스, #무해한, #힐링, #육아물, #인외존재, #동물, #감성드라마"
sun_13_아카데미의 천재칼잡이,"#판타지, #액션판타지, #마법, #크리처, #용사, #아카데미물, #고인물, #회귀, #인외존재, #먼치킨, #소설원작"
sun_14_태존비록,"#무협/사극, #소설원작"
sun_15_2회차 환관이 남성을 되찾음,"#판타지, #판타지개그, #판타지, #무협/사극, #세계관, #회귀, #판무, #소설원작"